Cbc0010I After 57700 nodes, 12635 on tree, 408 best solution, best possible 122.01497 (25358.07 seconds)
Cbc0010I After 57800 nodes, 12636 on tree, 408 best solution, best possible 122.01497 (25401.49 seconds)
Cbc0010I After 57900 nodes, 12635 on tree, 408 best solution, best possible 122.01497 (25447.50 seconds)
Cbc0010I After 58000 nodes, 12633 on tree, 408 best solution, best possible 122.01497 (25506.48 seconds)
Cbc0010I After 58100 nodes, 12641 on tree, 408 best solution, best possible 122.01497 (25548.13 seconds)
Cbc0010I After 58200 nodes, 12642 on tree, 408 best solution, best possible 122.01497 (25570.87 seconds)
Cbc0010I After 58300 nodes, 12635 on tree, 408 best solution, best possible 122.01497 (25583.84 seconds)
Cbc0010I After 58400 nodes, 12645 on tree, 408 best solution, best possible 122.01497 (25598.17 seconds)
Cbc0010I After 58500 nodes, 12642 on tree, 408 best solution, best possible 122.01497 (25613.40 seconds)
Cbc0010I After 58600 nodes, 12644 on tree, 408 best solution, best possible 122.01497 (25632.18 seconds)
Cbc0010I After 58700 nodes, 12636 on tree, 408 best solution, best possible 122.01497 (25652.42 seconds)
Cbc0010I After 58800 nodes, 12640 on tree, 408 best solution, best possible 122.01497 (25716.22 seconds)
Cbc0010I After 58900 nodes, 12636 on tree, 408 best solution, best possible 122.01497 (25769.91 seconds)
Cbc0010I After 59000 nodes, 12634 on tree, 408 best solution, best possible 122.01497 (25822.51 seconds)
Cbc0010I After 59100 nodes, 12639 on tree, 408 best solution, best possible 122.01497 (25904.88 seconds)
Cbc0010I After 59200 nodes, 12639 on tree, 408 best solution, best possible 122.01497 (25981.39 seconds)
Cbc0010I After 59300 nodes, 12633 on tree, 408 best solution, best possible 122.01497 (26046.50 seconds)
Cbc0010I After 59400 nodes, 12644 on tree, 408 best solution, best possible 122.01497 (26114.37 seconds)
Cbc0010I After 59500 nodes, 12648 on tree, 408 best solution, best possible 122.01497 (26164.18 seconds)
Cbc0010I After 59600 nodes, 12640 on tree, 408 best solution, best possible 122.01497 (26237.42 seconds)
Cbc0010I After 59700 nodes, 12635 on tree, 408 best solution, best possible 122.01497 (26292.52 seconds)
Cbc0010I After 59800 nodes, 12640 on tree, 408 best solution, best possible 122.01497 (26316.27 seconds)
Cbc0010I After 59900 nodes, 12637 on tree, 408 best solution, best possible 122.01497 (26334.44 seconds)
Cbc0010I After 60000 nodes, 12630 on tree, 408 best solution, best possible 122.01497 (26355.56 seconds)
Cbc0010I After 60100 nodes, 12630 on tree, 408 best solution, best possible 122.01497 (26374.59 seconds)
Cbc0010I After 60200 nodes, 12642 on tree, 408 best solution, best possible 122.01497 (26423.90 seconds)
Cbc0010I After 60300 nodes, 12640 on tree, 408 best solution, best possible 122.01497 (26481.42 seconds)
Cbc0010I After 60400 nodes, 12638 on tree, 408 best solution, best possible 122.01497 (26561.31 seconds)
Cbc0010I After 60500 nodes, 12635 on tree, 408 best solution, best possible 122.01497 (26646.93 seconds)
Cbc0010I After 60600 nodes, 12637 on tree, 408 best solution, best possible 122.01497 (26719.58 seconds)
Cbc0010I After 60700 nodes, 12652 on tree, 408 best solution, best possible 122.01497 (26784.77 seconds)
Cbc0010I After 60800 nodes, 12649 on tree, 408 best solution, best possible 122.01497 (26842.50 seconds)
Cbc0010I After 60900 nodes, 12637 on tree, 408 best solution, best possible 122.01497 (26894.53 seconds)
Cbc0010I After 61000 nodes, 12638 on tree, 408 best solution, best possible 122.01497 (26977.76 seconds)
Cbc0010I After 61100 nodes, 12661 on tree, 408 best solution, best possible 122.01497 (27015.20 seconds)
Cbc0010I After 61200 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (27075.31 seconds)
Cbc0010I After 61300 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (27142.29 seconds)
Cbc0010I After 61400 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (27215.22 seconds)
Cbc0010I After 61500 nodes, 12654 on tree, 408 best solution, best possible 122.01497 (27293.71 seconds)
Cbc0010I After 61600 nodes, 12657 on tree, 408 best solution, best possible 122.01497 (27361.53 seconds)
Cbc0010I After 61700 nodes, 12654 on tree, 408 best solution, best possible 122.01497 (27451.44 seconds)
Cbc0010I After 61800 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (27531.05 seconds)
Cbc0010I After 61900 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (27617.99 seconds)
Cbc0010I After 62000 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (27710.21 seconds)
Cbc0010I After 62100 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (27771.84 seconds)
Cbc0010I After 62200 nodes, 12658 on tree, 408 best solution, best possible 122.01497 (27839.62 seconds)
Cbc0010I After 62300 nodes, 12658 on tree, 408 best solution, best possible 122.01497 (27922.76 seconds)
Cbc0010I After 62400 nodes, 12658 on tree, 408 best solution, best possible 122.01497 (28023.48 seconds)
Cbc0010I After 62500 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (28103.43 seconds)
Cbc0010I After 62600 nodes, 12652 on tree, 408 best solution, best possible 122.01497 (28205.35 seconds)
Cbc0010I After 62700 nodes, 12656 on tree, 408 best solution, best possible 122.01497 (28300.63 seconds)
Cbc0010I After 62800 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (28371.65 seconds)
Cbc0010I After 62900 nodes, 12650 on tree, 408 best solution, best possible 122.01497 (28409.18 seconds)
Cbc0010I After 63000 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (28447.22 seconds)
Cbc0010I After 63100 nodes, 12655 on tree, 408 best solution, best possible 122.01497 (28471.49 seconds)
Cbc0010I After 63200 nodes, 12647 on tree, 408 best solution, best possible 122.01497 (28515.35 seconds)
Cbc0010I After 63300 nodes, 12648 on tree, 408 best solution, best possible 122.01497 (28571.77 seconds)
Cbc0010I After 63400 nodes, 12659 on tree, 408 best solution, best possible 122.01497 (28610.12 seconds)
Cbc0010I After 63500 nodes, 12648 on tree, 408 best solution, best possible 122.01497 (28691.45 seconds)
Cbc0010I After 63600 nodes, 12662 on tree, 408 best solution, best possible 122.01497 (28804.60 seconds)
Cbc0010I After 63700 nodes, 12648 on tree, 408 best solution, best possible 122.01497 (28888.50 seconds)
Cbc0010I After 63800 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (28969.04 seconds)
Cbc0010I After 63900 nodes, 12653 on tree, 408 best solution, best possible 122.01497 (29003.33 seconds)
Cbc0010I After 64000 nodes, 12654 on tree, 408 best solution, best possible 122.01497 (29053.51 seconds)
Cbc0010I After 64100 nodes, 12649 on tree, 408 best solution, best possible 122.01497 (29175.13 seconds)
Cbc0010I After 64200 nodes, 12659 on tree, 408 best solution, best possible 122.01497 (29221.36 seconds)
Cbc0010I After 64300 nodes, 12658 on tree, 408 best solution, best possible 122.01497 (29251.27 seconds)
Cbc0010I After 64400 nodes, 12664 on tree, 408 best solution, best possible 122.01497 (29284.70 seconds)
Cbc0010I After 64500 nodes, 12667 on tree, 408 best solution, best possible 122.01497 (29352.81 seconds)
Cbc0010I After 64600 nodes, 12651 on tree, 408 best solution, best possible 122.01497 (29455.68 seconds)
Cbc0010I After 64700 nodes, 12660 on tree, 408 best solution, best possible 122.01497 (29515.31 seconds)
Cbc0010I After 64800 nodes, 12648 on tree, 408 best solution, best possible 122.01497 (29557.29 seconds)
Cbc0010I After 64900 nodes, 12649 on tree, 408 best solution, best possible 122.01497 (29610.43 seconds)
Cbc0010I After 65000 nodes, 12647 on tree, 408 best solution, best possible 122.01497 (29691.52 seconds)
